# EXAMPLE
// 1 여기 주소가 서교동 111-11 번지 입니다.
1   서교동 111-11 번지
// 1 치킨좀 부탁드릴께요

# EXAMPLE
// 1 어 철수야 여기 나 지금 도착했어
// 1 여기가 지금 홍대 입구 앞이야
1 홍대 입구 앞
// 2 홍대 앞 어디인데
2 홍대 앞
// 1 여기 라인스토어 보인다.
1 라인스토어

# EXAMPLE
// 서교동 투썸플레이스 입니다.
1   서교동 투썸플레이스
// 지금 자리 있나요?


# EXAMPLE
// 1 여기 주소가 서교동 그 어디더라 잠시만요
1   서교동
// 1 11-11 번지 입니다. 양파 좀 많이 넣어주세요
1   111-11

# EXAMPLE (사용자의 위도 경도를 정확히 알때)
// 1 지금 여기 싸움이 났어요
// 2 거기가 어디신데요
// 1 여기가 서교동 GS25 앞이요
서교동 GS25
// 2 네 핸드폰 끄지 말고 계세요

# EXAMPLE 특정 대상물에서 가장 까가운 주소 찾기
// 1 나 여기 지금 망원역 옆 GS25시 인데요
1   망원역, GS25
// 2 망원역 옆에 GS25시가 한두개가 아닌데,,?
2   망원역 GS25
//  1 그것밖에 몰라 근데 망원역 진짜 바로 옆이야
